scene,model,p_style,p_novel,p_uncanny
r07_F,ours_nocritic,0.0,0.0,0.0
r07_FL,ours_nocritic,0.0,0.0,0.0
r07_FR,ours_nocritic,0.0,0.0,0.0
r07_L,ours_nocritic,0.0,0.0,0.0
r07_R,ours_nocritic,0.0,0.0,0.0
r08_B,ours_nocritic,0.0,0.0,0.0
r08_BL,ours_nocritic,0.0,0.0086,0.0
r08_BR,ours_nocritic,0.0,0.0,0.0
r08_F,ours_nocritic,0.0,0.0,0.0
r08_FL,ours_nocritic,0.0,0.0,0.0
r08_FR,ours_nocritic,0.0,0.0,0.0
r08_L,ours_nocritic,0.0,0.0,0.0
r08_R,ours_nocritic,0.0,0.0,0.0
r09_B,ours_nocritic,0.0,0.0,0.0
r09_BL,ours_nocritic,0.0,0.0,0.0
r09_BR,ours_nocritic,0.0,0.0,0.0
r09_F,ours_nocritic,0.0,0.0,0.0
r09_FL,ours_nocritic,0.0,0.0,0.0
r09_FR,ours_nocritic,0.0,0.0002,0.0
r09_L,ours_nocritic,0.0,0.0,0.0
r09_R,ours_nocritic,0.0,0.0,0.0
r10_B,ours_nocritic,0.0,0.0,0.0
r10_BL,ours_nocritic,0.0,0.0,0.0
r10_BR,ours_nocritic,0.0,0.0,0.0
r10_F,ours_nocritic,0.0,0.0,0.0
r10_FL,ours_nocritic,0.0,0.0,0.0
r10_FR,ours_nocritic,0.0,0.0001,0.0
r10_L,ours_nocritic,0.0,0.0,0.0
r10_R,ours_nocritic,0.0,0.0,0.0
r11_B,ours_nocritic,0.0,0.0,0.0
r11_BL,ours_nocritic,0.0,0.0,0.0
r11_BR,ours_nocritic,0.0,0.0,0.0
r11_F,ours_nocritic,0.0,0.0,0.0
r11_FL,ours_nocritic,0.0,0.0,0.0
r11_FR,ours_nocritic,0.0,0.0,0.0
r11_L,ours_nocritic,0.0,0.0,0.0
r11_R,ours_nocritic,0.0,0.0,0.0
r12_B,ours_nocritic,0.0,0.0,0.0
r12_BL,ours_nocritic,0.0,0.0,0.0
r12_BR,ours_nocritic,0.0,0.0001,0.0
r12_F,ours_nocritic,0.0,0.0,0.0
r12_FL,ours_nocritic,0.0,0.0,0.0
r12_FR,ours_nocritic,0.0,0.0,0.0
r12_L,ours_nocritic,0.0,0.0,0.0
r12_R,ours_nocritic,0.0,0.0,0.0
r13_B,ours_nocritic,0.0,0.0007,0.0
r13_BL,ours_nocritic,0.0,0.0001,0.0
r13_BR,ours_nocritic,0.0,0.0001,0.0
r13_F,ours_nocritic,0.0,0.0001,0.0
r13_FL,ours_nocritic,0.0,0.0,0.0
r13_FR,ours_nocritic,0.0,0.0006,0.0
r13_L,ours_nocritic,0.0,0.0001,0.0
r13_R,ours_nocritic,0.0,0.0001,0.0
r14_B,ours_nocritic,0.0,0.0,0.0
r14_BL,ours_nocritic,0.0,0.0,0.0
r14_BR,ours_nocritic,0.0,0.0,0.0
r14_F,ours_nocritic,0.0,0.0,0.0
r14_FL,ours_nocritic,0.0,0.0,0.0
r14_FR,ours_nocritic,0.0,0.0,0.0
r14_L,ours_nocritic,0.0,0.0,0.0
r14_R,ours_nocritic,0.0,0.0,0.0
r15_B,ours_nocritic,0.0,0.0,0.0002
r15_BL,ours_nocritic,0.0,0.0,0.0
r15_BR,ours_nocritic,0.0,0.0,0.0
r15_F,ours_nocritic,0.0,0.0,0.0
r15_FL,ours_nocritic,0.0,0.0,0.0
r15_FR,ours_nocritic,0.0,0.0,0.0
r15_L,ours_nocritic,0.0,0.0,0.0
r15_R,ours_nocritic,0.0,0.0001,0.0
r16_B,ours_nocritic,0.0,0.0012,0.0
r16_BL,ours_nocritic,0.0,0.0012,0.0
r16_BR,ours_nocritic,0.0,0.0,0.0
r16_F,ours_nocritic,0.0,0.0007,0.0
r16_FL,ours_nocritic,0.0,0.0,0.0
r16_FR,ours_nocritic,0.0,0.0,0.0
r16_L,ours_nocritic,0.0,0.0,0.0
r16_R,ours_nocritic,0.0,0.0474,0.0
r17_B,ours_nocritic,0.0,0.0,0.0
r17_BL,ours_nocritic,0.0,0.0,0.0
r17_BR,ours_nocritic,0.0,0.0,0.0
r17_F,ours_nocritic,0.0,0.0,0.0
r17_FL,ours_nocritic,0.0,0.0,0.0
r17_FR,ours_nocritic,0.0,0.0,0.0
r17_L,ours_nocritic,0.0,0.0,0.0
r17_R,ours_nocritic,0.0,0.0,0.0
r18_B,ours_nocritic,0.0,0.0,0.0
r18_BL,ours_nocritic,0.0,0.0,0.0
r18_BR,ours_nocritic,0.0,0.0,0.0
r18_F,ours_nocritic,0.0,0.0,0.0
r18_FL,ours_nocritic,0.0,0.0,0.0
r18_FR,ours_nocritic,0.0,0.0,0.0
r18_L,ours_nocritic,0.0,0.0,0.0
r18_R,ours_nocritic,0.0,0.0,0.0
r19_B,ours_nocritic,0.0,0.0,0.0
r19_BL,ours_nocritic,0.0,0.0,0.0
r19_BR,ours_nocritic,0.0,0.0,0.0
r19_F,ours_nocritic,0.0,0.0,0.0
r19_FL,ours_nocritic,0.0,0.0,0.0
r19_FR,ours_nocritic,0.0,0.0,0.0
r19_L,ours_nocritic,0.0,0.0,0.0
r19_R,ours_nocritic,0.0,0.0,0.0
r20_B,ours_nocritic,0.0,0.0002,0.0
r20_BL,ours_nocritic,0.0,0.0,0.0
r20_BR,ours_nocritic,0.0,0.0003,0.0
r20_F,ours_nocritic,0.0,0.0,0.0
r20_FL,ours_nocritic,0.0,0.0001,0.0
r20_FR,ours_nocritic,0.0,0.0,0.0
r20_L,ours_nocritic,0.0,0.0,0.0
r20_R,ours_nocritic,0.0,0.0,0.0
r21_B,ours_nocritic,0.0,0.0,0.0
r21_BL,ours_nocritic,0.0,0.0,0.0
r21_BR,ours_nocritic,0.0,0.0,0.0
r21_F,ours_nocritic,0.0,0.0,0.0
r21_FL,ours_nocritic,0.0,0.0,0.0
r21_FR,ours_nocritic,0.0,0.0,0.0
r21_L,ours_nocritic,0.0,0.0,0.0
r21_R,ours_nocritic,0.0,0.0,0.0
r22_B,ours_nocritic,0.0,0.0,0.0
r22_BL,ours_nocritic,0.0,0.0,0.0
r22_BR,ours_nocritic,0.0,0.0,0.0
r22_F,ours_nocritic,0.0,0.0,0.0
r22_FL,ours_nocritic,0.0,0.0,0.0
r22_FR,ours_nocritic,0.0,0.0,0.0
r22_L,ours_nocritic,0.0,0.0,0.0
r22_R,ours_nocritic,0.0,0.0,0.0
r23_B,ours_nocritic,0.0,0.0,0.0
r23_BL,ours_nocritic,0.0,0.0,0.0
r23_BR,ours_nocritic,0.0,1.0,0.0
r23_F,ours_nocritic,0.0,0.0,0.0
r23_FL,ours_nocritic,0.0,0.0,0.0
r23_FR,ours_nocritic,0.0,1.0,0.0001
r23_L,ours_nocritic,0.0,0.0,0.0
r23_R,ours_nocritic,0.0,0.9961,0.0006
r24_B,ours_nocritic,0.0,0.0,0.0
r24_BL,ours_nocritic,0.0,0.0,0.0
r24_BR,ours_nocritic,0.0,1.0,0.0601
r24_F,ours_nocritic,0.0,0.0,0.0
r24_FL,ours_nocritic,0.0,0.0,0.0
r24_FR,ours_nocritic,0.0,0.0,0.0
r24_L,ours_nocritic,0.0,0.0,0.0
r24_R,ours_nocritic,0.0,0.0,0.0
r25_B,ours_nocritic,0.0,0.0002,0.0
r25_BL,ours_nocritic,0.0,0.0,0.0
r25_BR,ours_nocritic,0.0,0.0,0.0
r25_F,ours_nocritic,0.0,0.0,0.0
r25_FL,ours_nocritic,0.0,0.0,0.0
r25_FR,ours_nocritic,0.0,0.0,0.0
r25_L,ours_nocritic,0.0,0.0,0.0
r25_R,ours_nocritic,0.0,0.0,0.0
r26_B,ours_nocritic,0.0,0.0,0.0
r26_BL,ours_nocritic,0.0,0.0,0.0
r26_BR,ours_nocritic,0.0003,0.0,0.3203
r26_F,ours_nocritic,0.0001,0.0,0.377
r26_FL,ours_nocritic,0.6211,0.0,0.9414
r26_FR,ours_nocritic,0.0015,0.0,0.2227
r26_L,ours_nocritic,0.0,0.0,0.0
r26_R,ours_nocritic,0.0,0.0,0.0
r27_B,ours_nocritic,0.0,0.0,0.0
r27_BL,ours_nocritic,0.0,0.0757,0.0
r27_BR,ours_nocritic,0.7305,1.0,0.9766
r27_F,ours_nocritic,0.0,0.014,0.0
r27_FL,ours_nocritic,0.0,0.0,0.0
r27_FR,ours_nocritic,0.0293,1.0,0.2695
r27_L,ours_nocritic,0.0,0.9531,0.0
r27_R,ours_nocritic,0.0952,0.9961,0.9688
r28_B,ours_nocritic,0.0,0.9688,0.0
r28_BL,ours_nocritic,0.0,0.0052,0.0
r28_BR,ours_nocritic,0.0,0.0179,0.0
r28_F,ours_nocritic,0.0,0.5,0.0
r28_FL,ours_nocritic,0.0,0.0,0.0
r28_FR,ours_nocritic,0.0,0.5625,0.0
r28_L,ours_nocritic,0.0,0.5,0.0
r28_R,ours_nocritic,0.0,0.2695,0.0
r29_B,ours_nocritic,0.0,0.0,0.0
r29_BL,ours_nocritic,0.0,0.0,0.0
r29_BR,ours_nocritic,0.0,0.0,0.0
r29_F,ours_nocritic,0.0,0.0,0.0
r29_FL,ours_nocritic,0.0,0.0,0.0
r29_FR,ours_nocritic,0.0,0.0,0.0
r29_L,ours_nocritic,0.0,0.0,0.0
r29_R,ours_nocritic,0.0,0.0,0.0
r30_B,ours_nocritic,0.0,0.0,0.0
r30_BL,ours_nocritic,0.0,0.0,0.0
r30_BR,ours_nocritic,0.0,0.0,0.0
r30_F,ours_nocritic,0.0,0.0,0.0
r30_FL,ours_nocritic,0.0,0.0,0.0
r30_FR,ours_nocritic,0.0,0.0,0.0
r30_L,ours_nocritic,0.0,0.0,0.0
r30_R,ours_nocritic,0.0004,0.0293,0.4375
r31_B,ours_nocritic,0.0,0.0,0.0
r31_BL,ours_nocritic,0.0,0.0,0.0
r31_BR,ours_nocritic,0.0,0.0,0.0
r31_F,ours_nocritic,0.0,0.0,0.0
r31_FL,ours_nocritic,0.0,0.0,0.0
r31_FR,ours_nocritic,0.0,0.0,0.0
r31_L,ours_nocritic,0.0,0.0,0.0
r31_R,ours_nocritic,0.0,0.0,0.0
