file,system,scene,source,note
yume_r11.mp4,yume,11,logs/eval_final/A_yume_noop_neutral/yume_r11_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r12.mp4,yume,12,logs/eval_final/A_yume_noop_neutral/yume_r12_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r13.mp4,yume,13,logs/eval_final/A_yume_noop_neutral/yume_r13_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r14.mp4,yume,14,logs/eval_final/A_yume_noop_neutral/yume_r14_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r15.mp4,yume,15,logs/eval_final/A_yume_noop_neutral/yume_r15_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r16.mp4,yume,16,logs/eval_final/A_yume_noop_neutral/yume_r16_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r17.mp4,yume,17,logs/eval_final/A_yume_noop_neutral/yume_r17_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r18.mp4,yume,18,logs/eval_final/A_yume_noop_neutral/yume_r18_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r19.mp4,yume,19,logs/eval_final/A_yume_noop_neutral/yume_r19_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r20.mp4,yume,20,logs/eval_final/A_yume_noop_neutral/yume_r20_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r21.mp4,yume,21,logs/eval_final/A_yume_noop_neutral/yume_r21_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r22.mp4,yume,22,logs/eval_final/A_yume_noop_neutral/yume_r22_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r23.mp4,yume,23,logs/eval_final/A_yume_noop_neutral/yume_r23_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r24.mp4,yume,24,logs/eval_final/A_yume_noop_neutral/yume_r24_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r25.mp4,yume,25,logs/eval_final/A_yume_noop_neutral/yume_r25_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r26.mp4,yume,26,logs/eval_final/A_yume_noop_neutral/yume_r26_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r27.mp4,yume,27,logs/eval_final/A_yume_noop_neutral/yume_r27_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r28.mp4,yume,28,logs/eval_final/A_yume_noop_neutral/yume_r28_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r29.mp4,yume,29,logs/eval_final/A_yume_noop_neutral/yume_r29_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r30.mp4,yume,30,logs/eval_final/A_yume_noop_neutral/yume_r30_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
yume_r31.mp4,yume,31,logs/eval_final/A_yume_noop_neutral/yume_r31_NOOPNW.mp4,neutral prompt: 'city walk scene'->'city scene'
